PARTNUMBER,CATENTRY_ID,BRAND,CATEGORY,NAME,ATTRIBUTENAME,ATTRIBUTE,SHORTDESCRIPTION,LONGDESCRIPTION,OFFERPRICE
AuroraWMDRS-17,10016,Albini,Topwear,Albini Empire Waist Knit Dress,swatchcolor,0,V-necked sleeveless dress with empire waist and belt tie,"The V neck and the straight cuts of this pleasant dress add spring to your step. The empire waist enhances your figure and the belt tie adds charm. Beaches, parks, shops - wear this any place and give people a reason to smile.",100
AuroraWMDRS-17,10016,Albini,Topwear,Albini Empire Waist Knit Dress,swatchSize,0,V-necked sleeveless dress with empire waist and belt tie,"The V neck and the straight cuts of this pleasant dress add spring to your step. The empire waist enhances your figure and the belt tie adds charm. Beaches, parks, shops - wear this any place and give people a reason to smile.",100
AuroraWMDRS-19,10017,Albini,Topwear,Albini Sleeveless Silk Dress,swatchcolor,0,Silk sheath cocktail dress with straight lines and high neck,This silk dress gives you confidence and the fabric molds your body with a fluidity that takes your breath away.,100
AuroraWMDRS-19,10017,Albini,Topwear,Albini Sleeveless Silk Dress,swatchSize,0,Silk sheath cocktail dress with straight lines and high neck,This silk dress gives you confidence and the fabric molds your body with a fluidity that takes your breath away.,100
AuroraWMDRS-20,10018,Gusso,Topwear,Gusso Silk Evening Dress,swatchcolor,0,Sleeveless evening dress with applique and sequined work,A different take on the little black dress. This black dress adds applique and sequined work in different colors to give it a different dimension. The pleated skirt and the waist band give it a sophisticated touch while retaining a timeless look.,250
AuroraWMDRS-20,10018,Gusso,Topwear,Gusso Silk Evening Dress,swatchSize,0,Sleeveless evening dress with applique and sequined work,A different take on the little black dress. This black dress adds applique and sequined work in different colors to give it a different dimension. The pleated skirt and the waist band give it a sophisticated touch while retaining a timeless look.,250
AuroraWMDRS-21,10019,Albini,Topwear,Albini Strapless Pencil Dress,swatchcolor,0,Strapless casual denim dress with seam detailing,Strapless dress that brings out the feminine feel of denim. A perfect fit for your casual wardrobe.,100
AuroraWMDRS-21,10019,Albini,Topwear,Albini Strapless Pencil Dress,swatchSize,0,Strapless casual denim dress with seam detailing,Strapless dress that brings out the feminine feel of denim. A perfect fit for your casual wardrobe.,100
AuroraWMDRS-22,10020,Luigi Valenti,Topwear,Luigi Valenti Strapless Sundress,swatchcolor,0,Strapless sundress with smoked top and gored skirt,Strapless sundress with flowery print designed to make you feel the joy of being alive. The smoked top and gored skirt along with the sash at the back add charm to a classic design.,50
AuroraWMDRS-22,10020,Luigi Valenti,Topwear,Luigi Valenti Strapless Sundress,swatchSize,0,Strapless sundress with smoked top and gored skirt,Strapless sundress with flowery print designed to make you feel the joy of being alive. The smoked top and gored skirt along with the sash at the back add charm to a classic design.,50
AuroraWMDRS-23,10021,Hermitage Collection,Topwear,Hermitage Pencil Cocktail Dress,swatchcolor,0,Strapless pencil evening dress,"A must for every wardrobe, this strapless dress is a classic. With a layered look on top, it tapers down to capture the essence of your figure.",100
AuroraWMDRS-23,10021,Hermitage Collection,Topwear,Hermitage Pencil Cocktail Dress,swatchSize,0,Strapless pencil evening dress,"A must for every wardrobe, this strapless dress is a classic. With a layered look on top, it tapers down to capture the essence of your figure.",100
AuroraWMDRS-24,10022,Hermitage Collection,Topwear,Hermitage Empire Waist Evening Gown,swatchcolor,0,Sleeveless evening gown with ruched front and sequence work,"This sleeveless evening gown will add beauty and charm to your everyday life, and make every occasion special. The ruched front and the sequined strip just below gives the dress a sophisticated air.",250
AuroraWMDRS-24,10022,Hermitage Collection,Topwear,Hermitage Empire Waist Evening Gown,swatchSize,0,Sleeveless evening gown with ruched front and sequence work,"This sleeveless evening gown will add beauty and charm to your everyday life, and make every occasion special. The ruched front and the sequined strip just below gives the dress a sophisticated air.",250
AuroraWMDRS-25,10023,Gusso,Topwear,Gusso Sleeveless Sequined Dress,swatchcolor,0,Sleeveless cocktail dress with high neck and sequence work,Sleeveless sequined dress that shimmers with intensity. There's nothing understated about this dress and will ensure that you never go unnoticed.,100
AuroraWMDRS-25,10023,Gusso,Topwear,Gusso Sleeveless Sequined Dress,swatchSize,0,Sleeveless cocktail dress with high neck and sequence work,Sleeveless sequined dress that shimmers with intensity. There's nothing understated about this dress and will ensure that you never go unnoticed.,100
AuroraWMDRS-26,10024,Versatil,Topwear,Versatil Turtleneck Sweater Dress,swatchcolor,0,Turtleneck sweater dress with short sleeves and straight cut,Turtleneck sweater dress with straight cut and elegant design keeps you warm on a cold day. Team it up with leggings to keep your legs warm and to give it a new look.,50
AuroraWMDRS-26,10024,Versatil,Topwear,Versatil Turtleneck Sweater Dress,swatchSize,0,Turtleneck sweater dress with short sleeves and straight cut,Turtleneck sweater dress with straight cut and elegant design keeps you warm on a cold day. Team it up with leggings to keep your legs warm and to give it a new look.,50
AuroraWMDRS-27,10025,Gusso,Topwear,Gusso Casual Sweater Dress,swatchcolor,0,Sleeveless sweater dress with cowl neck,Sleeveless sweater dress with cowl neck to keep you snug indoors or outdoors. A worthwhile addition to your wardrobe that is the perfect choice for a chilly evening.,50
AuroraWMDRS-27,10025,Gusso,Topwear,Gusso Casual Sweater Dress,swatchSize,0,Sleeveless sweater dress with cowl neck,Sleeveless sweater dress with cowl neck to keep you snug indoors or outdoors. A worthwhile addition to your wardrobe that is the perfect choice for a chilly evening.,50
AuroraWMDRS-28,10026,Luigi Valenti,Topwear,Luigi Valenti Sleeveless Sundress,swatchcolor,0,Sleeveless sundress with fitted top and gored skirt,Sleeveless sundress with twisted straps and pleated fitted top. The gored skirt adds grace to your walk and gives you a fresh look.,50
AuroraWMDRS-28,10026,Luigi Valenti,Topwear,Luigi Valenti Sleeveless Sundress,swatchSize,0,Sleeveless sundress with fitted top and gored skirt,Sleeveless sundress with twisted straps and pleated fitted top. The gored skirt adds grace to your walk and gives you a fresh look.,50
AuroraWMDRS-29,10027,Gusso,Topwear,Gusso Cocktail Sheath Dress,swatchcolor,0,Figure-hugging sleeveless cocktail dress with empire waist,"A picture of sophistication, this sleeveless black dress with ruched top and empire waist. This dress is a must have for any wardrobe.",100
AuroraWMDRS-29,10027,Gusso,Topwear,Gusso Cocktail Sheath Dress,swatchSize,0,Figure-hugging sleeveless cocktail dress with empire waist,"A picture of sophistication, this sleeveless black dress with ruched top and empire waist. This dress is a must have for any wardrobe.",100
AuroraWMDRS-30,10028,Hermitage Collection,Topwear,Hermitage Fitted Cocktail Dress,swatchcolor,0,Strapless cocktail dress with ruched bodice,"Strapless and fitted, this dress enhances your silhouette. The ruched look gives a sophisticated look.",250
AuroraWMDRS-30,10028,Hermitage Collection,Topwear,Hermitage Fitted Cocktail Dress,swatchSize,0,Strapless cocktail dress with ruched bodice,"Strapless and fitted, this dress enhances your silhouette. The ruched look gives a sophisticated look.",250
AuroraWMDRS-31,10029,Versatil,Topwear,Versatil Casual Maxi Dress,swatchcolor,0,Casual maxi dress with satin V-neck,This printed sundress with satin straps that also form the V-neck is suitable for any outing. The flared skirt adds to the elegance.,50
AuroraWMDRS-31,10029,Versatil,Topwear,Versatil Casual Maxi Dress,swatchSize,0,Casual maxi dress with satin V-neck,This printed sundress with satin straps that also form the V-neck is suitable for any outing. The flared skirt adds to the elegance.,50
AuroraWMDRS-32,10030,Versatil,Topwear,Versatil Smoked Caftan Sundress,swatchcolor,0,Colorful printed sundress with loosely fitted top and smoked skirt,Colorful printed sundress with loosely fitted top cools a hot day. The smoked skirt is a refreshing design makes you feel calm and composed.,50
AuroraWMDRS-32,10030,Versatil,Topwear,Versatil Smoked Caftan Sundress,swatchSize,0,Colorful printed sundress with loosely fitted top and smoked skirt,Colorful printed sundress with loosely fitted top cools a hot day. The smoked skirt is a refreshing design makes you feel calm and composed.,50
AuroraWMDRS-33,10031,Luigi Valenti,Topwear,Luigi Valenti Mid Length Cocktail Dress,swatchcolor,0,Sleeveless cocktail dress with lace work and satin strip at the waist,Shapely cocktail dress covered with black lace adds detail to an otherwise simple design. The satin strip at the waist and the tiny bow gives a sophisticated look.,100
AuroraWMDRS-33,10031,Luigi Valenti,Topwear,Luigi Valenti Mid Length Cocktail Dress,swatchSize,0,Sleeveless cocktail dress with lace work and satin strip at the waist,Shapely cocktail dress covered with black lace adds detail to an otherwise simple design. The satin strip at the waist and the tiny bow gives a sophisticated look.,100
AuroraWMDRS-34,10032,Versatil,Topwear,Versatil Casual Evening Dress,swatchcolor,0,Sleeveless slip dress with ruffled front and lace work,"A simple and elegant dress with a ruffled top and lace straps, along with an empire waist. The layered, gored skirt completes the look, and you'll feel as light as a cloud wearing this chic dress.",50
AuroraWMDRS-34,10032,Versatil,Topwear,Versatil Casual Evening Dress,swatchSize,0,Sleeveless slip dress with ruffled front and lace work,"A simple and elegant dress with a ruffled top and lace straps, along with an empire waist. The layered, gored skirt completes the look, and you'll feel as light as a cloud wearing this chic dress.",50
AuroraWMDRS-35,10033,Versatil,Topwear,Versatil Plaid Party Dress,swatchcolor,0,Sleeveless plaid casual dress with empire waist,Simple plaid dress with empire waist cinched with a black belt. The front pockets add a modern practical look and feel.,50
AuroraWMDRS-35,10033,Versatil,Topwear,Versatil Plaid Party Dress,swatchSize,0,Sleeveless plaid casual dress with empire waist,Simple plaid dress with empire waist cinched with a black belt. The front pockets add a modern practical look and feel.,50
AuroraWMDRS-36,10034,Luigi Valenti,Topwear,Luigi Valenti Layered Sundress,swatchcolor,0,Sleeveless sundress with layered skirt and black net waist tie,Simple sundress designed to give a calm and soothing effect. The black net waist tie and layered bottom add a touch of detail to this soft design.,50
AuroraWMDRS-36,10034,Luigi Valenti,Topwear,Luigi Valenti Layered Sundress,swatchSize,0,Sleeveless sundress with layered skirt and black net waist tie,Simple sundress designed to give a calm and soothing effect. The black net waist tie and layered bottom add a touch of detail to this soft design.,50
AuroraWMDRS-37,10035,Gusso,Topwear,Gusso Casual Wool Dress,swatchcolor,0,Sleeveless plaid dress with gored skirt,Simple plaid dress with fitted top and gored skirt brings out your fun side. The fabric detailing and the cinched waist provide a chic look.,50
AuroraWMDRS-37,10035,Gusso,Topwear,Gusso Casual Wool Dress,swatchSize,0,Sleeveless plaid dress with gored skirt,Simple plaid dress with fitted top and gored skirt brings out your fun side. The fabric detailing and the cinched waist provide a chic look.,50
AuroraWMDRS-38,10036,Hermitage Collection,Topwear,Hermitage Knit Cocktail Dress,swatchcolor,0,One shoulder evening dress with layered top and gored skirt,"This dress is the prime example of elegance redefined with one shoulder top, teamed with a gored skirt that gives it oomph like no other. The layered top and the strategic pleats give the aura of a diva and the confidence to get you everywhere.",250
AuroraWMDRS-38,10036,Hermitage Collection,Topwear,Hermitage Knit Cocktail Dress,swatchSize,0,One shoulder evening dress with layered top and gored skirt,"This dress is the prime example of elegance redefined with one shoulder top, teamed with a gored skirt that gives it oomph like no other. The layered top and the strategic pleats give the aura of a diva and the confidence to get you everywhere.",250
AuroraWMDRS-39,10037,Gusso,Topwear,Gusso Knit Casual Dress,swatchcolor,0,Printed sleeveless pencil dress,"Simple, yet elegant, the print on this dress reminds you of the ocean. The figure hugging design provides a sophisticated look to this slip dress.",100
AuroraWMDRS-39,10037,Gusso,Topwear,Gusso Knit Casual Dress,swatchSize,0,Printed sleeveless pencil dress,"Simple, yet elegant, the print on this dress reminds you of the ocean. The figure hugging design provides a sophisticated look to this slip dress.",100
AuroraWMDRS-40,10038,Luigi Valenti,Topwear,Luigi Valenti Striped Pencil Dress,swatchcolor,0,One shoulder pencil evening dress with stripes,"Shapely one shoulder striped dress designed to give the impression of different types of crossover, be it on the road, in your personal life, or in your profession.",50
AuroraWMDRS-40,10038,Luigi Valenti,Topwear,Luigi Valenti Striped Pencil Dress,swatchSize,0,One shoulder pencil evening dress with stripes,"Shapely one shoulder striped dress designed to give the impression of different types of crossover, be it on the road, in your personal life, or in your profession.",50
AuroraWMDRS-41,10039,Hermitage Collection,Topwear,Hermitage Gored Evening Dress,swatchcolor,0,Sleeveless evening dress with sequence work and gored skirt,"This 2-piece dress with a shimmering top and elegant gored skirt is the perfect accessory for any evening. This design sets off your figure and gives the impression of softness and boldness, all at once.",250
AuroraWMDRS-41,10039,Hermitage Collection,Topwear,Hermitage Gored Evening Dress,swatchSize,0,Sleeveless evening dress with sequence work and gored skirt,"This 2-piece dress with a shimmering top and elegant gored skirt is the perfect accessory for any evening. This design sets off your figure and gives the impression of softness and boldness, all at once.",250
AuroraWMDRS-001,10040,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchcolor,Red,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-001,10040,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchSize,XS,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-002,10041,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchcolor,Red,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-002,10041,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchSize,M,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-003,10042,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchcolor,Red,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-003,10042,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchSize,L,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-004,10043,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchcolor,Red,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-004,10043,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchSize,XL,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-005,10044,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchcolor,Teal,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-005,10044,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchSize,S,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-006,10045,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchcolor,Teal,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-006,10045,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchSize,M,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-007,10046,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchcolor,Teal,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-007,10046,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchSize,L,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-008,10047,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchcolor,Teal,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-008,10047,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchSize,XL,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-009,10048,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchcolor,Blue,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-009,10048,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchSize,XS,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-010,10049,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchcolor,Blue,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-010,10049,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchSize,S,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-011,10050,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchcolor,Blue,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-011,10050,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchSize,M,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-012,10051,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchcolor,Blue,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-012,10051,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchSize,XL,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-013,10052,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchSize,XXL,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-013,10052,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchcolor,Blue,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-014,10053,Versatil,Topwear,Versatil Empire Waist Sundress,swatchcolor,Gray,Empire waist sundress with flower print and frilly sleeves,"This oh so sheer dress will fit you like a dream, and you won't want to get out of this incredibly soft fabric. The fabulous flower print lights up the room you are in and will get you attention like never before.",50
AuroraWMDRS-014,10053,Versatil,Topwear,Versatil Empire Waist Sundress,swatchSize,XS,Empire waist sundress with flower print and frilly sleeves,"This oh so sheer dress will fit you like a dream, and you won't want to get out of this incredibly soft fabric. The fabulous flower print lights up the room you are in and will get you attention like never before.",50
AuroraWMDRS-015,10054,Versatil,Topwear,Versatil Empire Waist Sundress,swatchcolor,Gray,Empire waist sundress with flower print and frilly sleeves,"This oh so sheer dress will fit you like a dream, and you won't want to get out of this incredibly soft fabric. The fabulous flower print lights up the room you are in and will get you attention like never before.",50
AuroraWMDRS-015,10054,Versatil,Topwear,Versatil Empire Waist Sundress,swatchSize,M,Empire waist sundress with flower print and frilly sleeves,"This oh so sheer dress will fit you like a dream, and you won't want to get out of this incredibly soft fabric. The fabulous flower print lights up the room you are in and will get you attention like never before.",50
