PARTNUMBER,CATENTRY_ID,BRAND,CATEGORY,NAME,ATTRIBUTENAME,ATTRIBUTE,SHORTDESCRIPTION,LONGDESCRIPTION,OFFERPRICE
AuroraWMDRS-11,10011,Versatil,Topwear,Versatil Strapless Sundress,construction,Knit,Strapless sundress with smoked bodice and flowery print,Celebrate life with this sheer strapless sundress that makes your mornings brighter. Perfect for a picnic or for a lazy day in the park.,50
AuroraWMDRS-11,10011,Versatil,Topwear,Versatil Strapless Sundress,length,Long,Strapless sundress with smoked bodice and flowery print,Celebrate life with this sheer strapless sundress that makes your mornings brighter. Perfect for a picnic or for a lazy day in the park.,50
AuroraWMDRS-11,10011,Versatil,Topwear,Versatil Strapless Sundress,material,Georgette,Strapless sundress with smoked bodice and flowery print,Celebrate life with this sheer strapless sundress that makes your mornings brighter. Perfect for a picnic or for a lazy day in the park.,50
AuroraWMDRS-11,10011,Versatil,Topwear,Versatil Strapless Sundress,occasion,Casual,Strapless sundress with smoked bodice and flowery print,Celebrate life with this sheer strapless sundress that makes your mornings brighter. Perfect for a picnic or for a lazy day in the park.,50
AuroraWMDRS-12,10012,Versatil,Topwear,Versatil Short Sleeved Wrap Dress,construction,Knit,Short sleeved wrap dress with flared skirt,Wrap-around dress with a flared skirt  that ends just below the knee adds grace to your walk. The perfect outfit for the workplace or for an outing.,100
AuroraWMDRS-12,10012,Versatil,Topwear,Versatil Short Sleeved Wrap Dress,material,Cotton blend,Short sleeved wrap dress with flared skirt,Wrap-around dress with a flared skirt  that ends just below the knee adds grace to your walk. The perfect outfit for the workplace or for an outing.,100
AuroraWMDRS-12,10012,Versatil,Topwear,Versatil Short Sleeved Wrap Dress,length,Long,Short sleeved wrap dress with flared skirt,Wrap-around dress with a flared skirt  that ends just below the knee adds grace to your walk. The perfect outfit for the workplace or for an outing.,100
AuroraWMDRS-12,10012,Versatil,Topwear,Versatil Short Sleeved Wrap Dress,occasion,"Career, Casual",Short sleeved wrap dress with flared skirt,Wrap-around dress with a flared skirt  that ends just below the knee adds grace to your walk. The perfect outfit for the workplace or for an outing.,100
AuroraWMDRS-13,10013,Albini,Topwear,Albini Silk Evening Dress,construction,Knit,Silk cocktail dress with pleated neck and hem,Luxurious silk dress with pleated neck and hem. Perfect for the red carpet or for a spectacular entrance.,250
AuroraWMDRS-13,10013,Albini,Topwear,Albini Silk Evening Dress,length,Long,Silk cocktail dress with pleated neck and hem,Luxurious silk dress with pleated neck and hem. Perfect for the red carpet or for a spectacular entrance.,250
AuroraWMDRS-13,10013,Albini,Topwear,Albini Silk Evening Dress,material,Georgette,Silk cocktail dress with pleated neck and hem,Luxurious silk dress with pleated neck and hem. Perfect for the red carpet or for a spectacular entrance.,250
AuroraWMDRS-13,10013,Albini,Topwear,Albini Silk Evening Dress,occasion,Casual,Silk cocktail dress with pleated neck and hem,Luxurious silk dress with pleated neck and hem. Perfect for the red carpet or for a spectacular entrance.,250
AuroraWMDRS-15,10014,Albini,Topwear,Albini Casual Knit Strapless Dress,construction,Knit,Strapless knit A-line summer dress with polka dots,Strapless knit summer dress perfect for picnics and life in the city. The polka dots and brown belt add style to simplicity.,50
AuroraWMDRS-15,10014,Albini,Topwear,Albini Casual Knit Strapless Dress,material,Cotton blend,Strapless knit A-line summer dress with polka dots,Strapless knit summer dress perfect for picnics and life in the city. The polka dots and brown belt add style to simplicity.,50
AuroraWMDRS-15,10014,Albini,Topwear,Albini Casual Knit Strapless Dress,length,Short,Strapless knit A-line summer dress with polka dots,Strapless knit summer dress perfect for picnics and life in the city. The polka dots and brown belt add style to simplicity.,50
AuroraWMDRS-15,10014,Albini,Topwear,Albini Casual Knit Strapless Dress,occasion,Casual,Strapless knit A-line summer dress with polka dots,Strapless knit summer dress perfect for picnics and life in the city. The polka dots and brown belt add style to simplicity.,50
AuroraWMDRS-16,10015,Gusso,Topwear,Gusso Pleated Sleeveless Dress,construction,Knit,Sleeveless slip dress with satin hem and flared body,"Perfect for summer, this sleeveless dress with satin hem and flared body keeps you cool.",50
AuroraWMDRS-16,10015,Gusso,Topwear,Gusso Pleated Sleeveless Dress,material,100% cotton,Sleeveless slip dress with satin hem and flared body,"Perfect for summer, this sleeveless dress with satin hem and flared body keeps you cool.",50
AuroraWMDRS-16,10015,Gusso,Topwear,Gusso Pleated Sleeveless Dress,length,Short,Sleeveless slip dress with satin hem and flared body,"Perfect for summer, this sleeveless dress with satin hem and flared body keeps you cool.",50
AuroraWMDRS-16,10015,Gusso,Topwear,Gusso Pleated Sleeveless Dress,occasion,Casual,Sleeveless slip dress with satin hem and flared body,"Perfect for summer, this sleeveless dress with satin hem and flared body keeps you cool.",50
AuroraWMDRS-17,10016,Albini,Topwear,Albini Empire Waist Knit Dress,construction,Knit,V-necked sleeveless dress with empire waist and belt tie,"The V neck and the straight cuts of this pleasant dress add spring to your step. The empire waist enhances your figure and the belt tie adds charm. Beaches, parks, shops - wear this any place and give people a reason to smile.",100
AuroraWMDRS-17,10016,Albini,Topwear,Albini Empire Waist Knit Dress,length,Mid Length,V-necked sleeveless dress with empire waist and belt tie,"The V neck and the straight cuts of this pleasant dress add spring to your step. The empire waist enhances your figure and the belt tie adds charm. Beaches, parks, shops - wear this any place and give people a reason to smile.",100
AuroraWMDRS-17,10016,Albini,Topwear,Albini Empire Waist Knit Dress,material,100% cotton,V-necked sleeveless dress with empire waist and belt tie,"The V neck and the straight cuts of this pleasant dress add spring to your step. The empire waist enhances your figure and the belt tie adds charm. Beaches, parks, shops - wear this any place and give people a reason to smile.",100
AuroraWMDRS-17,10016,Albini,Topwear,Albini Empire Waist Knit Dress,occasion,Cocktail & Evening,V-necked sleeveless dress with empire waist and belt tie,"The V neck and the straight cuts of this pleasant dress add spring to your step. The empire waist enhances your figure and the belt tie adds charm. Beaches, parks, shops - wear this any place and give people a reason to smile.",100
AuroraWMDRS-19,10017,Albini,Topwear,Albini Sleeveless Silk Dress,construction,Knit,Silk sheath cocktail dress with straight lines and high neck,This silk dress gives you confidence and the fabric molds your body with a fluidity that takes your breath away.,100
AuroraWMDRS-19,10017,Albini,Topwear,Albini Sleeveless Silk Dress,length,Mid Length,Silk sheath cocktail dress with straight lines and high neck,This silk dress gives you confidence and the fabric molds your body with a fluidity that takes your breath away.,100
AuroraWMDRS-19,10017,Albini,Topwear,Albini Sleeveless Silk Dress,material,Silk,Silk sheath cocktail dress with straight lines and high neck,This silk dress gives you confidence and the fabric molds your body with a fluidity that takes your breath away.,100
AuroraWMDRS-19,10017,Albini,Topwear,Albini Sleeveless Silk Dress,occasion,Cocktail & Evening,Silk sheath cocktail dress with straight lines and high neck,This silk dress gives you confidence and the fabric molds your body with a fluidity that takes your breath away.,100
AuroraWMDRS-20,10018,Gusso,Topwear,Gusso Silk Evening Dress,construction,Knit,Sleeveless evening dress with applique and sequined work,A different take on the little black dress. This black dress adds applique and sequined work in different colors to give it a different dimension. The pleated skirt and the waist band give it a sophisticated touch while retaining a timeless look.,250
AuroraWMDRS-20,10018,Gusso,Topwear,Gusso Silk Evening Dress,length,Mid Length,Sleeveless evening dress with applique and sequined work,A different take on the little black dress. This black dress adds applique and sequined work in different colors to give it a different dimension. The pleated skirt and the waist band give it a sophisticated touch while retaining a timeless look.,250
AuroraWMDRS-20,10018,Gusso,Topwear,Gusso Silk Evening Dress,material,Silk,Sleeveless evening dress with applique and sequined work,A different take on the little black dress. This black dress adds applique and sequined work in different colors to give it a different dimension. The pleated skirt and the waist band give it a sophisticated touch while retaining a timeless look.,250
AuroraWMDRS-20,10018,Gusso,Topwear,Gusso Silk Evening Dress,occasion,Cocktail & Evening,Sleeveless evening dress with applique and sequined work,A different take on the little black dress. This black dress adds applique and sequined work in different colors to give it a different dimension. The pleated skirt and the waist band give it a sophisticated touch while retaining a timeless look.,250
AuroraWMDRS-21,10019,Albini,Topwear,Albini Strapless Pencil Dress,Exclusive,Exclusive,Strapless casual denim dress with seam detailing,Strapless dress that brings out the feminine feel of denim. A perfect fit for your casual wardrobe.,100
AuroraWMDRS-21,10019,Albini,Topwear,Albini Strapless Pencil Dress,Clearance,Clearance,Strapless casual denim dress with seam detailing,Strapless dress that brings out the feminine feel of denim. A perfect fit for your casual wardrobe.,100
AuroraWMDRS-21,10019,Albini,Topwear,Albini Strapless Pencil Dress,construction,Knit,Strapless casual denim dress with seam detailing,Strapless dress that brings out the feminine feel of denim. A perfect fit for your casual wardrobe.,100
AuroraWMDRS-21,10019,Albini,Topwear,Albini Strapless Pencil Dress,length,Mid Length,Strapless casual denim dress with seam detailing,Strapless dress that brings out the feminine feel of denim. A perfect fit for your casual wardrobe.,100
AuroraWMDRS-21,10019,Albini,Topwear,Albini Strapless Pencil Dress,occasion,Casual,Strapless casual denim dress with seam detailing,Strapless dress that brings out the feminine feel of denim. A perfect fit for your casual wardrobe.,100
AuroraWMDRS-21,10019,Albini,Topwear,Albini Strapless Pencil Dress,material,Denim,Strapless casual denim dress with seam detailing,Strapless dress that brings out the feminine feel of denim. A perfect fit for your casual wardrobe.,100
AuroraWMDRS-22,10020,Luigi Valenti,Topwear,Luigi Valenti Strapless Sundress,construction,Knit,Strapless sundress with smoked top and gored skirt,Strapless sundress with flowery print designed to make you feel the joy of being alive. The smoked top and gored skirt along with the sash at the back add charm to a classic design.,50
AuroraWMDRS-22,10020,Luigi Valenti,Topwear,Luigi Valenti Strapless Sundress,length,Short,Strapless sundress with smoked top and gored skirt,Strapless sundress with flowery print designed to make you feel the joy of being alive. The smoked top and gored skirt along with the sash at the back add charm to a classic design.,50
AuroraWMDRS-22,10020,Luigi Valenti,Topwear,Luigi Valenti Strapless Sundress,material,Cotton blend,Strapless sundress with smoked top and gored skirt,Strapless sundress with flowery print designed to make you feel the joy of being alive. The smoked top and gored skirt along with the sash at the back add charm to a classic design.,50
AuroraWMDRS-22,10020,Luigi Valenti,Topwear,Luigi Valenti Strapless Sundress,occasion,Cocktail & Evening,Strapless sundress with smoked top and gored skirt,Strapless sundress with flowery print designed to make you feel the joy of being alive. The smoked top and gored skirt along with the sash at the back add charm to a classic design.,50
AuroraWMDRS-23,10021,Hermitage Collection,Topwear,Hermitage Pencil Cocktail Dress,construction,Knit,Strapless pencil evening dress,"A must for every wardrobe, this strapless dress is a classic. With a layered look on top, it tapers down to capture the essence of your figure.",100
AuroraWMDRS-23,10021,Hermitage Collection,Topwear,Hermitage Pencil Cocktail Dress,length,Short,Strapless pencil evening dress,"A must for every wardrobe, this strapless dress is a classic. With a layered look on top, it tapers down to capture the essence of your figure.",100
AuroraWMDRS-23,10021,Hermitage Collection,Topwear,Hermitage Pencil Cocktail Dress,material,Silk,Strapless pencil evening dress,"A must for every wardrobe, this strapless dress is a classic. With a layered look on top, it tapers down to capture the essence of your figure.",100
AuroraWMDRS-23,10021,Hermitage Collection,Topwear,Hermitage Pencil Cocktail Dress,occasion,Cocktail & Evening,Strapless pencil evening dress,"A must for every wardrobe, this strapless dress is a classic. With a layered look on top, it tapers down to capture the essence of your figure.",100
AuroraWMDRS-24,10022,Hermitage Collection,Topwear,Hermitage Empire Waist Evening Gown,Clearance,Clearance,Sleeveless evening gown with ruched front and sequence work,"This sleeveless evening gown will add beauty and charm to your everyday life, and make every occasion special. The ruched front and the sequined strip just below gives the dress a sophisticated air.",250
AuroraWMDRS-24,10022,Hermitage Collection,Topwear,Hermitage Empire Waist Evening Gown,construction,Knit,Sleeveless evening gown with ruched front and sequence work,"This sleeveless evening gown will add beauty and charm to your everyday life, and make every occasion special. The ruched front and the sequined strip just below gives the dress a sophisticated air.",250
AuroraWMDRS-24,10022,Hermitage Collection,Topwear,Hermitage Empire Waist Evening Gown,length,Mid Length,Sleeveless evening gown with ruched front and sequence work,"This sleeveless evening gown will add beauty and charm to your everyday life, and make every occasion special. The ruched front and the sequined strip just below gives the dress a sophisticated air.",250
AuroraWMDRS-24,10022,Hermitage Collection,Topwear,Hermitage Empire Waist Evening Gown,material,Synthetic,Sleeveless evening gown with ruched front and sequence work,"This sleeveless evening gown will add beauty and charm to your everyday life, and make every occasion special. The ruched front and the sequined strip just below gives the dress a sophisticated air.",250
AuroraWMDRS-24,10022,Hermitage Collection,Topwear,Hermitage Empire Waist Evening Gown,occasion,Cocktail & Evening,Sleeveless evening gown with ruched front and sequence work,"This sleeveless evening gown will add beauty and charm to your everyday life, and make every occasion special. The ruched front and the sequined strip just below gives the dress a sophisticated air.",250
AuroraWMDRS-25,10023,Gusso,Topwear,Gusso Sleeveless Sequined Dress,construction,Knit,Sleeveless cocktail dress with high neck and sequence work,Sleeveless sequined dress that shimmers with intensity. There's nothing understated about this dress and will ensure that you never go unnoticed.,100
AuroraWMDRS-25,10023,Gusso,Topwear,Gusso Sleeveless Sequined Dress,length,Short,Sleeveless cocktail dress with high neck and sequence work,Sleeveless sequined dress that shimmers with intensity. There's nothing understated about this dress and will ensure that you never go unnoticed.,100
AuroraWMDRS-25,10023,Gusso,Topwear,Gusso Sleeveless Sequined Dress,material,Synthetic,Sleeveless cocktail dress with high neck and sequence work,Sleeveless sequined dress that shimmers with intensity. There's nothing understated about this dress and will ensure that you never go unnoticed.,100
AuroraWMDRS-25,10023,Gusso,Topwear,Gusso Sleeveless Sequined Dress,occasion,Cocktail & Evening,Sleeveless cocktail dress with high neck and sequence work,Sleeveless sequined dress that shimmers with intensity. There's nothing understated about this dress and will ensure that you never go unnoticed.,100
AuroraWMDRS-26,10024,Versatil,Topwear,Versatil Turtleneck Sweater Dress,construction,Woven,Turtleneck sweater dress with short sleeves and straight cut,Turtleneck sweater dress with straight cut and elegant design keeps you warm on a cold day. Team it up with leggings to keep your legs warm and to give it a new look.,50
AuroraWMDRS-26,10024,Versatil,Topwear,Versatil Turtleneck Sweater Dress,length,Short,Turtleneck sweater dress with short sleeves and straight cut,Turtleneck sweater dress with straight cut and elegant design keeps you warm on a cold day. Team it up with leggings to keep your legs warm and to give it a new look.,50
AuroraWMDRS-26,10024,Versatil,Topwear,Versatil Turtleneck Sweater Dress,material,Cotton blend,Turtleneck sweater dress with short sleeves and straight cut,Turtleneck sweater dress with straight cut and elegant design keeps you warm on a cold day. Team it up with leggings to keep your legs warm and to give it a new look.,50
AuroraWMDRS-26,10024,Versatil,Topwear,Versatil Turtleneck Sweater Dress,occasion,"Career, Casual",Turtleneck sweater dress with short sleeves and straight cut,Turtleneck sweater dress with straight cut and elegant design keeps you warm on a cold day. Team it up with leggings to keep your legs warm and to give it a new look.,50
AuroraWMDRS-27,10025,Gusso,Topwear,Gusso Casual Sweater Dress,construction,Woven,Sleeveless sweater dress with cowl neck,Sleeveless sweater dress with cowl neck to keep you snug indoors or outdoors. A worthwhile addition to your wardrobe that is the perfect choice for a chilly evening.,50
AuroraWMDRS-27,10025,Gusso,Topwear,Gusso Casual Sweater Dress,length,Short,Sleeveless sweater dress with cowl neck,Sleeveless sweater dress with cowl neck to keep you snug indoors or outdoors. A worthwhile addition to your wardrobe that is the perfect choice for a chilly evening.,50
AuroraWMDRS-27,10025,Gusso,Topwear,Gusso Casual Sweater Dress,material,Cotton blend,Sleeveless sweater dress with cowl neck,Sleeveless sweater dress with cowl neck to keep you snug indoors or outdoors. A worthwhile addition to your wardrobe that is the perfect choice for a chilly evening.,50
AuroraWMDRS-27,10025,Gusso,Topwear,Gusso Casual Sweater Dress,occasion,"Career, Casual",Sleeveless sweater dress with cowl neck,Sleeveless sweater dress with cowl neck to keep you snug indoors or outdoors. A worthwhile addition to your wardrobe that is the perfect choice for a chilly evening.,50
AuroraWMDRS-28,10026,Luigi Valenti,Topwear,Luigi Valenti Sleeveless Sundress,construction,Knit,Sleeveless sundress with fitted top and gored skirt,Sleeveless sundress with twisted straps and pleated fitted top. The gored skirt adds grace to your walk and gives you a fresh look.,50
AuroraWMDRS-28,10026,Luigi Valenti,Topwear,Luigi Valenti Sleeveless Sundress,length,Mid Length,Sleeveless sundress with fitted top and gored skirt,Sleeveless sundress with twisted straps and pleated fitted top. The gored skirt adds grace to your walk and gives you a fresh look.,50
AuroraWMDRS-28,10026,Luigi Valenti,Topwear,Luigi Valenti Sleeveless Sundress,material,100% cotton,Sleeveless sundress with fitted top and gored skirt,Sleeveless sundress with twisted straps and pleated fitted top. The gored skirt adds grace to your walk and gives you a fresh look.,50
AuroraWMDRS-28,10026,Luigi Valenti,Topwear,Luigi Valenti Sleeveless Sundress,occasion,Casual,Sleeveless sundress with fitted top and gored skirt,Sleeveless sundress with twisted straps and pleated fitted top. The gored skirt adds grace to your walk and gives you a fresh look.,50
AuroraWMDRS-29,10027,Gusso,Topwear,Gusso Cocktail Sheath Dress,construction,Knit,Figure-hugging sleeveless cocktail dress with empire waist,"A picture of sophistication, this sleeveless black dress with ruched top and empire waist. This dress is a must have for any wardrobe.",100
AuroraWMDRS-29,10027,Gusso,Topwear,Gusso Cocktail Sheath Dress,length,Mid Length,Figure-hugging sleeveless cocktail dress with empire waist,"A picture of sophistication, this sleeveless black dress with ruched top and empire waist. This dress is a must have for any wardrobe.",100
